DATE_TIME,DATE,TIME,Average of AMBIENT_TEMPERATURE,Average of MODULE_TEMPERATURE,Average of IRRADIATION,Average of DC_POWER,Average of AC_POWER,Average of DAILY_YIELD,Average of TOTAL_YIELD,DAILY_YIELD,TOTAL_YIELD
15-05-20 0:00,15-05-20,0:00:00,25.18431613,22.8575074,0,0,0,0,6837222.667,0,6837222.667
15-05-20 0:15,15-05-20,0:15:00,25.08458867,22.76166787,0,0,0,0,6837222.667,0,6837222.667
15-05-20 0:30,15-05-20,0:30:00,24.9357526,22.59230553,0,0,0,0,6837222.667,0,6837222.667
15-05-20 0:45,15-05-20,0:45:00,24.8461304,22.36085213,0,0,0,0,6837222.667,0,6837222.667
15-05-20 1:00,15-05-20,1:00:00,24.62152536,22.16542264,0,0,0,0,6852801.909,0,6852801.909
15-05-20 1:15,15-05-20,1:15:00,24.5360922,21.96857087,0,0,0,0,6837222.667,0,6837222.667
15-05-20 1:30,15-05-20,1:30:00,24.63867387,22.35292567,0,0,0,0,6837222.667,0,6837222.667
15-05-20 1:45,15-05-20,1:45:00,24.87302233,23.1609192,0,0,0,0,6852801.909,0,6852801.909
15-05-20 2:00,15-05-20,2:00:00,24.93693047,23.026113,0,0,0,0,6837222.667,0,6837222.667
15-05-20 2:15,15-05-20,2:15:00,25.0122476,23.34322927,0,0,0,0,6837222.667,0,6837222.667
15-05-20 2:30,15-05-20,2:30:00,25.00514933,23.63945927,0,0,0,0,6837222.667,0,6837222.667
15-05-20 2:45,15-05-20,2:45:00,24.99301953,24.0394858,0,0,0,0,6837222.667,0,6837222.667
15-05-20 3:00,15-05-20,3:00:00,25.01630943,24.38413557,0,0,0,0,6837222.667,0,6837222.667
15-05-20 3:15,15-05-20,3:15:00,24.98521527,24.35150773,0,0,0,0,6837222.667,0,6837222.667
15-05-20 3:30,15-05-20,3:30:00,24.93773193,24.06029653,0,0,0,0,6837222.667,0,6837222.667
15-05-20 3:45,15-05-20,3:45:00,24.87909953,23.70979413,0,0,0,0,6837222.667,0,6837222.667
15-05-20 4:00,15-05-20,4:00:00,24.6789022,22.58994153,0,0,0,0,6837222.667,0,6837222.667
15-05-20 4:15,15-05-20,4:15:00,24.3519308,21.78364253,0,0,0,0,6852801.909,0,6852801.909
15-05-20 4:30,15-05-20,4:30:00,24.0626222,21.85252493,0,0,0,0,6852801.909,0,6852801.909
15-05-20 4:45,15-05-20,4:45:00,24.0132242,22.306315,0,0,0,0,6852801.909,0,6852801.909
15-05-20 5:00,15-05-20,5:00:00,24.1771058,22.55190847,0,0,0,0,6852801.909,0,6852801.909
15-05-20 5:15,15-05-20,5:15:00,24.304888,22.97949207,0,0,0,0,6837222.667,0,6837222.667
15-05-20 5:30,15-05-20,5:30:00,24.32872727,23.45238047,0,0,0,0,6837222.667,0,6837222.667
15-05-20 5:45,15-05-20,5:45:00,24.28921113,23.09669193,0.000862721,0,0,0,6837222.667,0,6837222.667
15-05-20 6:00,15-05-20,6:00:00,24.08844607,22.2067566,0.005886957,44.86422903,4.329960318,0,6837222.667,0,6837222.667
15-05-20 6:15,15-05-20,6:15:00,24.01163527,22.35345867,0.022281607,292.4810091,28.25422336,2.91723356,6837225.609,2.91723356,6837225.609
15-05-20 6:30,15-05-20,6:30:00,23.97673127,22.893282,0.049409724,694.1433983,67.28157468,14.75135281,6852816.604,14.75135281,6852816.604
15-05-20 6:45,15-05-20,6:45:00,24.21899,24.44244393,0.095394454,1301.208604,126.8385552,37.25027056,6852839.047,37.25027056,6852839.047
15-05-20 7:00,15-05-20,7:00:00,24.5373984,27.18565287,0.141940443,1879.35974,184.2119156,78.07954545,6852879.872,78.07954545,6852879.872
15-05-20 7:15,15-05-20,7:15:00,24.8159595,28.88847786,0.154712676,2025.645833,198.5783009,125.0898268,6852927.493,125.0898268,6852927.493
15-05-20 7:30,15-05-20,7:30:00,24.98878987,29.6056438,0.148799153,1982.695076,194.3606872,175.0170455,6852976.929,175.0170455,6852976.929
15-05-20 7:45,15-05-20,7:45:00,25.21618033,29.54711093,0.144793419,2017.99513,197.8224838,222.2012987,6853024.221,222.2012987,6853024.221
15-05-20 8:00,15-05-20,8:00:00,25.41951307,31.41254473,0.201638621,2947.036526,289.3458604,280.0373377,6853081.752,280.0373377,6853081.752
15-05-20 8:15,15-05-20,8:15:00,25.95908213,35.5287108,0.345707653,4633.507143,454.639302,374.0548701,6853175.943,374.0548701,6853175.943
15-05-20 8:30,15-05-20,8:30:00,26.43078207,40.3180586,0.405348573,5096.798431,499.8001353,498.6358225,6853300.587,498.6358225,6853300.587
15-05-20 8:45,15-05-20,8:45:00,26.8318298,39.08195373,0.312426795,4204.793831,412.7303571,603.1599026,6853404.89,603.1599026,6853404.89
15-05-20 9:00,15-05-20,9:00:00,27.6209698,45.0092326,0.623152649,7527.222403,736.8795455,754.2353896,6853555.599,754.2353896,6853555.599
15-05-20 9:15,15-05-20,9:15:00,27.98836207,46.6177065,0.344884036,4492.091721,440.5832792,908.226461,6853710.004,908.226461,6853710.004
15-05-20 9:30,15-05-20,9:30:00,27.51672787,39.136326,0.2492484,3478.284091,341.4272727,994.9496753,6853797.354,994.9496753,6853797.354
15-05-20 9:45,15-05-20,9:45:00,27.45010767,40.93057693,0.541205977,7335.001623,717.86875,1115.15368,6853916.854,1115.15368,6853916.854
15-05-20 10:00,15-05-20,10:00:00,28.63219187,52.5477356,0.670675372,8319.373377,813.4908279,1333.94237,6854136.317,1333.94237,6854136.317
15-05-20 10:15,15-05-20,10:15:00,28.76891273,47.633738,0.572283477,7214.388799,705.9977273,1498.797078,6854299.877,1498.797078,6854299.877
15-05-20 10:30,15-05-20,10:30:00,29.3514426,49.24972327,0.455148383,5868.347078,574.9359903,1673.780682,6854475.563,1673.780682,6854475.563
15-05-20 10:45,15-05-20,10:45:00,28.85470787,44.0483256,0.361961654,5141.961039,504.1649513,1809.058766,6854610.515,1809.058766,6854610.515
15-05-20 11:00,15-05-20,11:00:00,29.41081933,47.6854534,0.636560881,8807.637987,860.7526948,1972.270617,6854774.381,1972.270617,6854774.381
15-05-20 11:15,15-05-20,11:15:00,30.21606229,50.00698857,0.585787214,7286.419372,712.8960768,2170.580087,6854971.694,2170.580087,6854971.694
15-05-20 11:30,15-05-20,11:30:00,30.2870728,49.8413636,0.557069383,7064.05276,691.2401786,2351.184253,6855153.227,2351.184253,6855153.227
15-05-20 11:45,15-05-20,11:45:00,30.81104933,47.8363832,0.467986869,7621.281656,745.5267857,2512.323052,6855314.679,2512.323052,6855314.679
15-05-20 12:00,15-05-20,12:00:00,31.30537507,49.18358353,0.514962587,7082.804383,693.2185606,2710.04302,6855511.892,2710.04302,6855511.892
15-05-20 12:15,15-05-20,12:15:00,31.50729773,49.84449267,0.787866029,9525.881765,930.7735389,2906.013799,6855708.738,2906.013799,6855708.738
15-05-20 12:30,15-05-20,12:30:00,32.14768473,52.35325513,0.649247629,8994.75,879.1685065,3143.775974,6855944.768,3143.775974,6855944.768
15-05-20 12:45,15-05-20,12:45:00,32.3914204,50.63123993,0.761243312,9519.056277,930.4953463,3358.145292,6856159.756,3358.145292,6856159.756
15-05-20 13:00,15-05-20,13:00:00,32.62279607,49.61076771,0.416035101,5901.925325,578.2671266,3543.696429,6856345.148,3543.696429,6856345.148
15-05-20 13:15,15-05-20,13:15:00,32.49706447,47.01116133,0.489243946,6806.388799,666.6357143,3704.17289,6856506.447,3704.17289,6856506.447
15-05-20 13:30,15-05-20,13:30:00,32.5246214,46.66986293,0.574561224,7980.612013,781.1663149,3884.042208,6856685.604,3884.042208,6856685.604
15-05-20 13:45,15-05-20,13:45:00,32.67847087,47.51688413,0.560985624,7771.390422,760.761039,4073.566559,6856874.883,4073.566559,6856874.883
15-05-20 14:00,15-05-20,14:00:00,33.7631854,49.80390433,0.735083463,10110.85065,988.5030032,4288.719968,6857089.345,4288.719968,6857089.345
15-05-20 14:15,15-05-20,14:15:00,34.13076993,55.030613,0.893661491,11809.69481,1152.388474,4557.521104,6857358.783,4557.521104,6857358.783
15-05-20 14:30,15-05-20,14:30:00,34.08138427,54.51913673,0.466788824,6495.54237,635.8725487,4802.250325,6857603.649,4802.250325,6857603.649
15-05-20 14:45,15-05-20,14:45:00,33.69572221,47.61819464,0.542138496,7305.251353,714.6843344,4952.359037,6857754.874,4952.359037,6857754.874
15-05-20 15:00,15-05-20,15:00:00,33.89057607,46.0290812,0.398888543,5845.653409,572.8984578,5120.801136,6857922.71,5120.801136,6857922.71
15-05-20 15:15,15-05-20,15:15:00,34.043744,44.28609193,0.447292149,6511.597403,637.7739448,5272.090909,6858074,5272.090909,6858074
15-05-20 15:30,15-05-20,15:30:00,34.40285233,46.7442812,0.565196397,7588.469156,742.8599838,5445.205628,6858247.812,5445.205628,6858247.812
15-05-20 15:45,15-05-20,15:45:00,34.43094267,43.9206158,0.346230693,4888.507305,479.2620942,5584.471861,6858386.07,5584.471861,6858386.07
15-05-20 16:00,15-05-20,16:00:00,34.38115033,43.33285333,0.35818237,4960.030844,486.5465097,5722.171266,6858524.08,5722.171266,6858524.08
15-05-20 16:15,15-05-20,16:15:00,34.12625693,41.00743193,0.328896119,4522.409903,443.7930195,5827.660714,6858629.57,5827.660714,6858629.57
15-05-20 16:30,15-05-20,16:30:00,34.35660993,41.28059067,0.344954196,4730.891234,464.1211039,5946.18263,6858747.728,5946.18263,6858747.728
15-05-20 16:45,15-05-20,16:45:00,33.86159653,39.41907593,0.260346758,3535.32711,347.4436147,6048.143939,6858850.295,6048.143939,6858850.295
15-05-20 17:00,15-05-20,17:00:00,33.44331357,36.82670364,0.166812741,2268.80763,222.4996753,6119.129058,6858921.103,6119.129058,6858921.103
15-05-20 17:15,15-05-20,17:15:00,33.30025473,35.8522074,0.173898637,2259.939123,221.5911526,6175.42289,6858977.332,6175.42289,6858977.332
15-05-20 17:30,15-05-20,17:30:00,33.0321222,34.3384004,0.08716189,1193.128788,116.2734849,6211.215909,6859013.148,6211.215909,6859013.148
15-05-20 17:45,15-05-20,17:45:00,32.31187113,31.54853933,0.038403034,517.7840909,50.0911526,6232.811688,6859034.688,6232.811688,6859034.688
15-05-20 18:00,15-05-20,18:00:00,31.13241364,30.225331,0.022544936,295.6818182,28.56258117,6243.20211,6859045.111,6243.20211,6859045.111
