DATE_TIME,DATE,TIME,Av_AMB_TEMP,Av_ MOD_TEMP,Av_IRRAD,Av_DC,Av_AC,Av_DAILY_YIELD,Av_ TOTAL_YIELD1,DAILY_YIELD,TOTAL_YIELD
15-05-20 0:00,15-05-20,0:00:00,-0.332611477,-0.743355345,-0.773529443,-0.787505761,-0.788184652,-1.085282918,-1.723498302,0,6837222.667
15-05-20 0:15,15-05-20,0:15:00,-0.359171036,-0.750620443,-0.773529443,-0.787505761,-0.788184652,-1.085282918,-1.723498302,0,6837222.667
15-05-20 0:30,15-05-20,0:30:00,-0.398809266,-0.763458925,-0.773529443,-0.787505761,-0.788184652,-1.085282918,-1.723498302,0,6837222.667
15-05-20 0:45,15-05-20,0:45:00,-0.422677577,-0.781004209,-0.773529443,-0.787505761,-0.788184652,-1.085282918,-1.723498302,0,6837222.667
15-05-20 1:00,15-05-20,1:00:00,-0.482494707,-0.795818707,-0.773529443,-0.787505761,-0.788184652,-1.085282918,-1.367934199,0,6852801.909
15-05-20 1:15,15-05-20,1:15:00,-0.505247386,-0.810741021,-0.773529443,-0.787505761,-0.788184652,-1.085282918,-1.723498302,0,6837222.667
15-05-20 1:30,15-05-20,1:30:00,-0.477927692,-0.781605074,-0.773529443,-0.787505761,-0.788184652,-1.085282918,-1.723498302,0,6837222.667
15-05-20 1:45,15-05-20,1:45:00,-0.415515679,-0.720355267,-0.773529443,-0.787505761,-0.788184652,-1.085282918,-1.367934199,0,6852801.909
15-05-20 2:00,15-05-20,2:00:00,-0.398495575,-0.730574227,-0.773529443,-0.787505761,-0.788184652,-1.085282918,-1.723498302,0,6837222.667
15-05-20 2:15,15-05-20,2:15:00,-0.37843701,-0.706535284,-0.773529443,-0.787505761,-0.788184652,-1.085282918,-1.723498302,0,6837222.667
15-05-20 2:30,15-05-20,2:30:00,-0.380327431,-0.684079622,-0.773529443,-0.787505761,-0.788184652,-1.085282918,-1.723498302,0,6837222.667
15-05-20 2:45,15-05-20,2:45:00,-0.383557856,-0.653755681,-0.773529443,-0.787505761,-0.788184652,-1.085282918,-1.723498302,0,6837222.667
15-05-20 3:00,15-05-20,3:00:00,-0.377355258,-0.627629566,-0.773529443,-0.787505761,-0.788184652,-1.085282918,-1.723498302,0,6837222.667
15-05-20 3:15,15-05-20,3:15:00,-0.385636299,-0.630102914,-0.773529443,-0.787505761,-0.788184652,-1.085282918,-1.723498302,0,6837222.667
15-05-20 3:30,15-05-20,3:30:00,-0.398282127,-0.652178127,-0.773529443,-0.787505761,-0.788184652,-1.085282918,-1.723498302,0,6837222.667
